time,action,ticker,price,qty,fee,cost,source,order_id,order_time,fill_time,fill_delay_s,place_time
2025-12-05 08:01:35.697447,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_1,2025-12-05 08:01:35.697447,2025-12-05 08:01:35.697447,0.0,
2025-12-05 08:01:45.701264,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_2,2025-12-05 08:01:45.701264,2025-12-05 08:01:45.701264,0.0,
2025-12-05 08:01:55.712171,BUY_NO,KXHIGHNY-25DEC06-T39,94.0,1,0.01,0.95,SIM,SIM_3,2025-12-05 08:01:55.712171,2025-12-05 08:01:55.712171,0.0,
2025-12-05 08:07:28.300657,BUY_NO,KXHIGHNY-25DEC05-B32.5,33.0,1,0.02,0.35000000000000003,SIM,SIM_4,2025-12-05 08:07:28.300657,2025-12-05 08:07:28.300657,0.0,
2025-12-05 08:22:09.255641,BUY_NO,KXHIGHNY-25DEC05-B32.5,32.0,1,0.02,0.34,SIM,SIM_5,2025-12-05 08:22:09.255641,2025-12-05 08:22:09.255641,0.0,
2025-12-05 08:23:26.561179,BUY_YES,KXHIGHNY-25DEC06-B43.5,15.0,12,0.11,1.91,SIM,SIM_6,2025-12-05 08:23:26.561179,2025-12-05 08:23:26.561179,0.0,
2025-12-05 08:35:29.874132,BUY_YES,KXHIGHNY-25DEC06-B45.5,3.0,117,0.24,3.75,SIM,SIM_7,2025-12-05 08:35:29.874132,2025-12-05 08:35:29.874132,0.0,
2025-12-05 13:00:02.473155,BUY_NO,KXHIGHNY-25DEC06-T39,88.0,1,0.01,0.89,SIM,SIM_8,2025-12-05 13:00:02.473155,2025-12-05 13:00:02.473155,0.0,
2025-12-05 13:01:52.250649,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,4,0.07,2.67,SIM,SIM_9,2025-12-05 13:01:52.250649,2025-12-05 13:01:52.250649,0.0,
2025-12-05 13:02:12.583577,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,2,0.04,1.34,SIM,SIM_10,2025-12-05 13:02:12.583577,2025-12-05 13:02:12.583577,0.0,
2025-12-05 13:06:47.810576,BUY_NO,KXHIGHNY-25DEC05-B30.5,65.0,2,0.04,1.34,SIM,SIM_11,2025-12-05 13:06:47.810576,2025-12-05 13:06:47.810576,0.0,
2025-12-05 13:08:37.627198,BUY_NO,KXHIGHNY-25DEC05-B30.5,64.0,2,0.04,1.32,SIM,SIM_12,2025-12-05 13:08:37.627198,2025-12-05 13:08:37.627198,0.0,
2025-12-05 13:09:09.572436,BUY_NO,KXHIGHNY-25DEC05-B30.5,63.0,2,0.04,1.3,SIM,SIM_13,2025-12-05 13:09:09.572436,2025-12-05 13:09:09.572436,0.0,
2025-12-05 13:09:51.941850,BUY_NO,KXHIGHNY-25DEC05-B30.5,62.0,2,0.04,1.28,SIM,SIM_14,2025-12-05 13:09:51.941850,2025-12-05 13:09:51.941850,0.0,
2025-12-05 13:10:29.981008,BUY_NO,KXHIGHNY-25DEC05-B30.5,61.0,2,0.04,1.26,SIM,SIM_15,2025-12-05 13:10:29.981008,2025-12-05 13:10:29.981008,0.0,
2025-12-05 13:10:44.261751,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,2,0.04,1.24,SIM,SIM_16,2025-12-05 13:10:44.261751,2025-12-05 13:10:44.261751,0.0,
2025-12-05 13:11:15.979781,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,2,0.04,1.24,SIM,SIM_17,2025-12-05 13:11:15.979781,2025-12-05 13:11:15.979781,0.0,
2025-12-05 13:11:18.589148,BUY_NO,KXHIGHNY-25DEC05-B30.5,60.0,2,0.04,1.24,SIM,SIM_18,2025-12-05 13:11:18.589148,2025-12-05 13:11:18.589148,0.0,
